report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
10_o3-mini_orkg_d1_b1,d1_b1,0.56,0.71,0.42,0.68,0.44,0.562,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d1_b1.md
10_o3-mini_orkg_d1_b4,d1_b4,0.6,0.83,0.42,0.73,0.78,0.672,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d1_b4.md
10_o3-mini_orkg_d4_b1,d4_b1,0.63,0.87,0.57,0.68,0.72,0.694,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d4_b1.md
10_o3-mini_orkg_d4_b4,d4_b4,0.63,0.78,0.57,0.68,0.72,0.676,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d4_b4.md
11_o3-mini_orkg_d1_b1,d1_b1,0.67,0.57,0.42,0.66,0.57,0.578,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d1_b1.md
11_o3-mini_orkg_d1_b4,d1_b4,0.62,0.68,0.42,0.58,0.67,0.594,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d1_b4.md
11_o3-mini_orkg_d4_b1,d4_b1,0.4,0.72,0.28,0.57,0.56,0.506,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d4_b1.md
11_o3-mini_orkg_d4_b4,d4_b4,0.63,0.87,0.56,0.62,0.73,0.682,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d4_b4.md
12_o3-mini_orkg_d1_b1,d1_b1,0.58,0.68,0.47,0.78,0.78,0.658,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d1_b1.md
12_o3-mini_orkg_d1_b4,d1_b4,0.62,0.68,0.63,0.68,0.88,0.698,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d1_b4.md
12_o3-mini_orkg_d4_b1,d4_b1,0.67,0.73,0.46,0.72,0.67,0.65,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d4_b1.md
12_o3-mini_orkg_d4_b4,d4_b4,0.67,0.72,0.46,0.57,0.62,0.608,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d4_b4.md
13_o3-mini_orkg_d1_b1,d1_b1,0.58,0.67,0.46,0.58,0.53,0.564,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d1_b1.md
13_o3-mini_orkg_d1_b4,d1_b4,0.68,0.83,0.46,0.67,0.57,0.642,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d1_b4.md
13_o3-mini_orkg_d4_b1,d4_b1,0.58,0.68,0.64,0.62,0.66,0.636,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d4_b1.md
