report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
10_o3-mini_orkg_d1_b1,d1_b1,0.42,0.85,0.45,0.92,0.68,0.664,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d1_b1.md
10_o3-mini_orkg_d1_b4,d1_b4,0.2,0.82,0.47,0.85,0.73,0.614,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d1_b4.md
10_o3-mini_orkg_d4_b1,d4_b1,0.4,0.92,0.6,0.92,0.83,0.734,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d4_b1.md
10_o3-mini_orkg_d4_b4,d4_b4,0.55,0.93,0.55,0.92,0.75,0.74,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d4_b4.md
11_o3-mini_orkg_d1_b1,d1_b1,0.2,0.92,0.4,0.55,0.4,0.494,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d1_b1.md
11_o3-mini_orkg_d1_b4,d1_b4,0.35,0.6,0.3,0.55,0.75,0.51,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d1_b4.md
11_o3-mini_orkg_d4_b1,d4_b1,0.4,0.6,0.05,0.4,0.8,0.45,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d4_b1.md
11_o3-mini_orkg_d4_b4,d4_b4,0.45,0.7,0.55,0.6,0.58,0.576,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d4_b4.md
12_o3-mini_orkg_d1_b1,d1_b1,0.3,0.6,0.55,0.95,0.67,0.614,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d1_b1.md
12_o3-mini_orkg_d1_b4,d1_b4,0.55,0.6,0.45,0.92,0.5,0.604,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d1_b4.md
12_o3-mini_orkg_d4_b1,d4_b1,0.15,0.6,0.82,0.92,0.53,0.604,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d4_b1.md
12_o3-mini_orkg_d4_b4,d4_b4,0.4,0.45,0.6,0.93,0.85,0.646,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d4_b4.md
13_o3-mini_orkg_d1_b1,d1_b1,0.2,0.35,0.65,0.45,0.45,0.42,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d1_b1.md
13_o3-mini_orkg_d1_b4,d1_b4,0.15,0.93,0.55,0.92,0.45,0.6,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d1_b4.md
13_o3-mini_orkg_d4_b1,d4_b1,0.08,0.58,0.55,0.75,0.85,0.562,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d4_b1.md
13_o3-mini_orkg_d4_b4,d4_b4,0.2,0.4,0.73,0.48,0.55,0.472,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d4_b4.md
14_o3-mini_orkg_d1_b1,d1_b1,0.25,0.82,0.45,0.62,0.55,0.538,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d1_b1.md
14_o3-mini_orkg_d1_b4,d1_b4,0.05,0.82,0.27,0.82,0.6,0.512,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d1_b4.md
14_o3-mini_orkg_d4_b1,d4_b1,0.05,0.92,0.1,0.5,0.65,0.444,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d4_b1.md
14_o3-mini_orkg_d4_b4,d4_b4,0.15,0.94,0.63,0.6,0.55,0.574,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d4_b4.md
15_o3-mini_orkg_d1_b1,d1_b1,0.15,0.78,0.45,0.83,0.93,0.628,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d1_b1.md
15_o3-mini_orkg_d1_b4,d1_b4,0.2,0.92,0.3,0.45,0.35,0.444,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d1_b4.md
15_o3-mini_orkg_d4_b1,d4_b1,0.3,0.76,0.45,0.92,0.75,0.636,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d4_b1.md
15_o3-mini_orkg_d4_b4,d4_b4,0.2,0.95,0.25,0.4,0.73,0.506,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d4_b4.md
16_o3-mini_orkg_d1_b1,d1_b1,0.2,0.72,0.55,0.95,0.9,0.664,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d1_b1.md
16_o3-mini_orkg_d1_b4,d1_b4,0.55,0.65,0.45,0.92,0.42,0.598,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d1_b4.md
16_o3-mini_orkg_d4_b1,d4_b1,0.25,0.75,0.62,0.63,0.92,0.634,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d4_b1.md
16_o3-mini_orkg_d4_b4,d4_b4,0.4,0.65,0.75,0.9,0.75,0.69,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d4_b4.md
17_o3-mini_orkg_d1_b1,d1_b1,0.05,0.8,0.35,0.6,0.85,0.53,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d1_b1.md
17_o3-mini_orkg_d1_b4,d1_b4,0.3,0.93,0.3,0.6,0.72,0.57,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d1_b4.md
17_o3-mini_orkg_d4_b1,d4_b1,0.1,0.78,0.45,0.93,0.72,0.596,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d4_b1.md
17_o3-mini_orkg_d4_b4,d4_b4,0.07,0.95,0.25,0.55,0.3,0.424,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d4_b4.md
18_o3-mini_orkg_d1_b1,d1_b1,0.45,0.91,0.4,0.92,0.8,0.696,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d1_b1.md
18_o3-mini_orkg_d1_b4,d1_b4,0.25,0.62,0.3,0.72,0.45,0.468,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d1_b4.md
18_o3-mini_orkg_d4_b1,d4_b1,0.28,0.4,0.4,0.65,0.45,0.436,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d4_b1.md
18_o3-mini_orkg_d4_b4,d4_b4,0.45,0.92,0.45,0.5,0.92,0.648,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d4_b4.md
19_o3-mini_orkg_d1_b1,d1_b1,0.15,0.57,0.55,0.72,0.68,0.534,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d1_b1.md
19_o3-mini_orkg_d1_b4,d1_b4,0.25,0.92,0.55,0.55,0.8,0.614,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d1_b4.md
