report_stem,config,depth,breadth,rigor,innovation,gap,overall,report_path
10_o3-mini_orkg_d1_b1,d1_b1,0.44,0.66,0.46,0.63,0.53,0.544,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d1_b1.md
10_o3-mini_orkg_d1_b4,d1_b4,0.69,0.74,0.48,0.83,0.59,0.666,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d1_b4.md
10_o3-mini_orkg_d4_b1,d4_b1,0.63,0.61,0.46,0.73,0.58,0.602,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d4_b1.md
10_o3-mini_orkg_d4_b4,d4_b4,0.61,0.78,0.43,0.73,0.69,0.648,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/10_o3-mini_orkg_d4_b4.md
11_o3-mini_orkg_d1_b1,d1_b1,0.62,0.59,0.33,0.61,0.44,0.518,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d1_b1.md
11_o3-mini_orkg_d1_b4,d1_b4,0.46,0.62,0.38,0.56,0.59,0.522,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d1_b4.md
11_o3-mini_orkg_d4_b1,d4_b1,0.59,0.58,0.19,0.58,0.41,0.47,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d4_b1.md
11_o3-mini_orkg_d4_b4,d4_b4,0.63,0.83,0.48,0.66,0.53,0.626,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/11_o3-mini_orkg_d4_b4.md
12_o3-mini_orkg_d1_b1,d1_b1,0.67,0.57,0.53,0.83,0.64,0.648,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d1_b1.md
12_o3-mini_orkg_d1_b4,d1_b4,0.62,0.57,0.44,0.82,0.74,0.638,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d1_b4.md
12_o3-mini_orkg_d4_b1,d4_b1,0.56,0.66,0.46,0.73,0.63,0.608,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d4_b1.md
12_o3-mini_orkg_d4_b4,d4_b4,0.64,0.57,0.32,0.61,0.58,0.544,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/12_o3-mini_orkg_d4_b4.md
13_o3-mini_orkg_d1_b1,d1_b1,0.47,0.67,0.47,0.61,0.63,0.57,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d1_b1.md
13_o3-mini_orkg_d1_b4,d1_b4,0.48,0.64,0.47,0.69,0.41,0.538,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d1_b4.md
13_o3-mini_orkg_d4_b1,d4_b1,0.54,0.67,0.47,0.59,0.53,0.56,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d4_b1.md
13_o3-mini_orkg_d4_b4,d4_b4,0.47,0.58,0.37,0.73,0.61,0.552,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/13_o3-mini_orkg_d4_b4.md
14_o3-mini_orkg_d1_b1,d1_b1,0.42,0.57,0.41,0.61,0.53,0.508,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d1_b1.md
14_o3-mini_orkg_d1_b4,d1_b4,0.61,0.69,0.31,0.61,0.62,0.568,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d1_b4.md
14_o3-mini_orkg_d4_b1,d4_b1,0.37,0.76,0.19,0.48,0.46,0.452,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d4_b1.md
14_o3-mini_orkg_d4_b4,d4_b4,0.53,0.88,0.53,0.66,0.61,0.642,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/14_o3-mini_orkg_d4_b4.md
15_o3-mini_orkg_d1_b1,d1_b1,0.59,0.56,0.38,0.79,0.74,0.612,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d1_b1.md
15_o3-mini_orkg_d1_b4,d1_b4,0.57,0.71,0.36,0.61,0.47,0.544,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d1_b4.md
15_o3-mini_orkg_d4_b1,d4_b1,0.47,0.66,0.43,0.67,0.81,0.608,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d4_b1.md
15_o3-mini_orkg_d4_b4,d4_b4,0.53,0.69,0.43,0.61,0.57,0.566,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/15_o3-mini_orkg_d4_b4.md
16_o3-mini_orkg_d1_b1,d1_b1,0.54,0.63,0.41,0.91,0.66,0.63,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d1_b1.md
16_o3-mini_orkg_d1_b4,d1_b4,0.62,0.67,0.49,0.72,0.56,0.612,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d1_b4.md
16_o3-mini_orkg_d4_b1,d4_b1,0.69,0.71,0.49,0.86,0.64,0.678,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d4_b1.md
16_o3-mini_orkg_d4_b4,d4_b4,0.57,0.66,0.54,0.71,0.52,0.6,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/16_o3-mini_orkg_d4_b4.md
17_o3-mini_orkg_d1_b1,d1_b1,0.41,0.56,0.46,0.62,0.72,0.554,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d1_b1.md
17_o3-mini_orkg_d1_b4,d1_b4,0.44,0.86,0.44,0.67,0.57,0.596,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d1_b4.md
17_o3-mini_orkg_d4_b1,d4_b1,0.53,0.79,0.44,0.83,0.61,0.64,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d4_b1.md
17_o3-mini_orkg_d4_b4,d4_b4,0.47,0.81,0.32,0.61,0.52,0.546,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/17_o3-mini_orkg_d4_b4.md
18_o3-mini_orkg_d1_b1,d1_b1,0.57,0.47,0.42,0.78,0.66,0.58,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d1_b1.md
18_o3-mini_orkg_d1_b4,d1_b4,0.62,0.66,0.31,0.57,0.49,0.53,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d1_b4.md
18_o3-mini_orkg_d4_b1,d4_b1,0.58,0.43,0.37,0.69,0.44,0.502,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d4_b1.md
18_o3-mini_orkg_d4_b4,d4_b4,0.64,0.83,0.48,0.63,0.88,0.692,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/18_o3-mini_orkg_d4_b4.md
19_o3-mini_orkg_d1_b1,d1_b1,0.58,0.63,0.41,0.67,0.67,0.592,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d1_b1.md
19_o3-mini_orkg_d1_b4,d1_b4,0.53,0.61,0.43,0.63,0.66,0.572,/nfs/home/sandere/deep-research/data/nlp-reports/orkg-ask/o3-mini/19_o3-mini_orkg_d1_b4.md
