,Your research question.,Theme
1,"Are chemical treatments more efficient than cutting or rolling, for example for bracken control?",Invasive and problem species
2,How does stem injection of herbicide compare with spraying on leaves for killing a specified invasive plant species?,Invasive and problem species
3,Does reseeding with native species after removing invasive plants reduce the rate of regrowth?,Invasive and problem species
4,"Can the inoculation of allelochemical-degrading bacteria help to suppress the re-sprouting capacity of invasive species, such as Fallopia japonica?",Invasive and problem species
5,Does spraying of invasive plants with herbicide subsequently reduce the recruitment of native plant species?,Invasive and problem species
6,"Does topsoil removal reduce the invasive seed bank, and does the cleared area present a soil matrix more conducive to planting native species than the topsoil?",Invasive and problem species
7,"Is the removal of plant cover by heat, electric shock or chemical treatment more conducive to establishing native species (e.g. a meadow) than turf /topsoil removal?",Invasive and problem species
8,"How do established methods for controlling invasive plants (e.g. chemical, mechanical, hot water, burning) affect soil microbiomes and/or fungal communities?",Invasive and problem species
9,Does the use of vole guards promote survival and growth of planted upland trees?,Invasive and problem species
10,Do sprays made of emulsified animal fat deter browsing of upland trees by large herbivores?,Invasive and problem species
11,Does covering seedling upland native trees with brash prevent grazing by deer and other animals?,Invasive and problem species
12,Does a fibrous barrier made of unwashed sheep's wool deter browsing of tree seedlings by small mammals?,Invasive and problem species
13,Can a barrier of felled trees and/or brash be used to deter large herbivores from an area in a forest as effectively as fencing?,Invasive and problem species
14,Does adding copper rings around the base of the plants reduce mollusc grazing?,Invasive and problem species
15,Does removal of macro-algal mats (e.g. Ulva spp.) increase benthic invertebrate diversity in intertidal mudflats?,Invasive and problem species
16,Does clearance of macro-algal mats from intertidal mudflats prevent or reduce regrowth the following year?,Invasive and problem species
17,Can repeated trapping and removal help to reduce invasive crayfish populations?,Invasive and problem species
18,Does removal of feral honeybee colonies in parks lead to increased native insect visits?,Invasive and problem species
19,Are logs or branches left for invertebrates better in piles or individually?,Habitat creation
20,Are logs better for biodiversity if partly buried?,Habitat creation
21,Can cut logs left for biodiversity be improved by creating a rough surface or cutting/drilling to enlarge surface area?,Habitat creation
22,Does pushing down trees (i.e. to break or uproot them) rather than felling (i.e. neat cut with a chainsaw) attract a greater diversity of invertebrates?,Habitat creation
23,Does creating pools in cut stumps benefit invertebrate biodiversity?,Habitat creation
24,Does the benefit to amphibians of fallen or cut logs on the forest floor depend on the presence or absence of leaf litter?,Habitat creation
25,Does the benefit to amphibians of fallen or cut logs on the forest floor increase depending on exposure or slope (or other factors that might influence humidity)?,Habitat creation
26,Is there a difference in the effects on insects between raking and use of a leaf-blower when clearing leaves?,Habitat creation
27,Does the use by invertebrates of bare scrapes created in grassland vary according to slope direction?,Habitat creation
28,Is light scarification combined with scattering of woodland brash/leaf litter effective in restoring soils and allowing natural regeneration in long deforested upland acid habitats?,Habitat creation
29,Do leaky dams influence the abundance/richness/diversity of invertebrates?,Habitat creation
30,"Does the use of geotextiles and cut vegetation, such as heather brash, promote revegetation of upland eroded bare peat, Sphagnum moss colonisation and peat formation?",Habitat creation
31,"Does ""lasagna gardening"" (putting down layers of straw, cardboard and compost and then planting into that) reduce weeds and result in greater tree growth?",Habitat creation
32,"Does heather cutting, as part of bog restoration, aid re-establishment of peat-forming Sphagnum mosses?",Habitat creation
33,"Can planting of bog sedges, such as cottongrass Eriophorum, promote colonisation of Sphagnum moss on upland eroded bare peat?",Habitat creation
34,Does inoculation with root fragments containing mycorrhizal fungi promote the growth and survival of planted upland trees?,Habitat creation
35,Does adding biochar to holes when planting trees improve tree survival or growth?,Habitat creation
36,"What type of soil disturbance (raking, digging, animal trampling, mechanical cultivation etc. is best to promote the germination of buried seed?",Habitat creation
37,Does sowing seeds/planting native vegetation on roadside verges increase the abundance of invertebrates and invertebrate species?,Habitat creation
38,Does reducing vegetation cover on existing rock piles affect the abundance of invertebrates?,Habitat creation
39,Does creating refuges in ponds increase numbers of breeding amphibians?,Habitat creation
40,Is there a benefit to water voles of installing buffer strips along water courses?,Habitat creation
41,"Does providing water sources, such as cattle troughs or spring boxes, increase bat activity in arid landscapes?",Habitat creation
42,What is the best time to move plants with bulbs - when flowering or dormant?,Habitat creation
43,Does planting flowers in large clumps increase native bee visits over planting flowers in a mix?,Habitat creation
44,Is there a difference in the abundance/richness of invertebrates in attenuation ponds (waterbodies designed to drain away after flood storage) versus typical ponds that hold water year-round?,Habitat creation
45,Is aquatic biodiversity in newly created ponds influenced by the provision of terrestrial habitat features such as log piles and hibernacula?,Habitat creation
46,"For newly created ponds, is there a significant difference between artificially planted vs naturally developing vegetation with regards to attracting aquatic biodiversity in the initial colonisation phase?",Habitat creation
47,Can translocated Sphagnum be used to restore peat-forming mosses to newly created bog pools during peatland restoration?,Habitat creation
48,Does the depth of newly created bog pools influence the species composition of colonising invertebrates during peatland restoration?,Habitat creation
49,"What is the growth rate, and survival of trees in recyclable tubes compared with plastic tubes and over what period does the tube disintegrate?",Habitat creation
50,Does inoculation with fragments of fungal sporocarps increase growth and survival of tree seedlings (for example Hebeloma inoculation of Oak)?,Habitat creation
51,Does the use of fertiliser in tree nursery compost reduce colonisation of tree seedlings by mycorrhizal fungi?,Habitat creation
52,What is the success rate of translocating epiphytic lichens to new host trees using different methods such as stapling or gluing?,Habitat creation
53,Does covering the 'stool' of coppiced trees with brash improve regrowth?,Habitat management
54,Are brash piles (quick) or woven brash barriers (time consuming) more effective at encouraging regrowth of coppiced trees?,Habitat management
55,Is there a significant difference in sapling success and early growth rate in human-assisted vs naturally dispersed/planted tree seeds? Use natural regeneration chronosequence over a year and compare with human-planted seeds in other plots.,Habitat management
56,Do plant ecotypes establish better when planted into soil that is inoculated with their local vs. non- local microbiota?,Habitat management
57,Does not raking leaves result in more insects in a lawn?,Habitat management
58,Does not raking leaves increase the diversity of plants in a lawn?,Habitat management
59,Does not mulching and leaving patches of bare ground in gardens increase ground-nesting bees in an area?,Habitat management
60,"How many invertebrates persist after grass is cut by scythe, strimmer or lawnmower?",Habitat management
61,Does daily watering of flowers in summer increase insect visits? Hypothesis that this will allow plants to produce nectar and not dry out.,Habitat management
62,"Does the type of material (wood vs plastic, or different types of wood) affect the use of bee tubes? Is this species dependent?",Habitat management
63,Do plastic tree guards reduce invertebrate diversity and/ or abundance within the area? Compare sites with and without tree guards (could compare other materials too).,Habitat management
64,Does leaving dandelions to grow and flower on garden lawns (rather than weeding them) promote invertebrate and bird diversity?,Habitat management
65,Does cutting vegetation along road verges (to increase visibility for motorists) reduce numbers of dead mammals on roads?,Habitat management
66,Is animal grazing or mechanical cutting better for promoting targeted heathland biodiversity (e.g. sand lizards)?,Habitat management
67,Does providing refuges after prescribed burns increase the rate of recolonisation by small mammals?,Habitat management
68,Does providing refuges after heathland wildfires help reestablish reptile populations?,Habitat management
69,Do modified gully pots/kerbs reduce amphibian mortality in gully pots?,Habitat management
70,Do warning signs e.g. for crossing amphibians reduce the speed and care of motorists?,Habitat management
71,Does removing tree canopy increase breeding amphibians in ponds?,Habitat management
72,Does bat activity increase if lighting is directed away from bat access points or habitat?,Habitat management
73,Does bat (and insect) activity decrease if UV filters are used on lights? Can also test 'warm' white LED against 'cool' LED lights,Habitat management
74,Can UV lights be used to improve foraging conditions for bats prior to hibernation by creating artificial prey patches by attracting insect prey and increasing foraging activity by bats?,Habitat management
75,Does putting bird nest boxes up in pairs increase occupancy by less competitive species?,Infrastructure such as nest boxes
76,"Are ""swift bricks"" at least as successful as other nesting sites for successful breeding events?",Infrastructure such as nest boxes
77,Does using wood/species from the local environment to make nest boxes (for birds/bats) influence nesting behaviour and/or increase nesting uptake/success? Needs to be compared with woodcrete boxes etc.,Infrastructure such as nest boxes
78,Does putting up bat boxes facing in different directions increase usage compared to boxes facing the same direction?,Infrastructure such as nest boxes
79,"Does inoculation of nest boxes from external sources with materials from the local environment (such as rubbing with local soil, lichen etc.) increase nesting uptake/success?",Infrastructure such as nest boxes
80,Does regular cleaning increase bat box occupancy?,Infrastructure such as nest boxes
81,Does treating bird boxes with boiling water reduce parasite infestations?,Infrastructure such as nest boxes
82,Does providing cleaned bird nest boxes with hay increase use?,Infrastructure such as nest boxes
83,What is the impact of cleaning bird feeders on bacterial levels over time? Can also compare different cleaning methods.,Infrastructure such as nest boxes
84,How does bird feeder design and/or food type affect consumption rate?,Infrastructure such as nest boxes
85,"Does the type of material (wood vs plastic, or different types of wood) affect the use of bee tubes? Is this species dependent?",Infrastructure such as nest boxes
86,Does the colour around a bee tube (i.e. painted blue vs. left natural) influence occupancy?,Infrastructure such as nest boxes
87,"How does the placing of bee hotels, such as proximity to buildings, influence nest occupancy of bee hotels?",Infrastructure such as nest boxes
88,Does low intensity lighting reduce attraction of invertebrates?,Infrastructure such as nest boxes
89,Do 'warm white' (rather than 'cool') LED lights reduce attraction of invertebrates?,Infrastructure such as nest boxes
90,Does red light reduce attraction of invertebrates?,Infrastructure such as nest boxes
91,"Does providing snacks increase the chance that a volunteer returns to volunteer again? There are a host of other possible experiments (explaining importance, buddy scheme etc.)",Working with others
92,"Does an educational element (e.g., learning about ecology) during conservation volunteering activities increase volunteer satisfaction and return rate?",Working with others
93,Does tailored individual feedback increase volunteer engagement with biological recording?,Working with others
94,"Does changing the way a volunteer work party is structured (alone, in pairs, in a group) affect the amount of work done?",Working with others
95,Will follow-up information on the success of a project sent to volunteers increase the chance that they will volunteer again?,Working with others
96,Are people more likely to volunteer if they have previously volunteered? Comparator groups - volunteered vs. non-volunteered.,Working with others
97,"Are volunteers more satisfied and more likely to return if they work with people of the same demographic (i.e. groups of retirees, groups of teens) rather than mixed-age groups?",Working with others
